OpenTime,Open,High,Low,Close,TickVolume
2020-07-20 17:00:00.0000000,10970.35,11002.85,10942.75,10998.55,16697
2020-07-20 21:00:00.0000000,10997.95,11031.05,10987.25,11024.75,28598
2020-07-21 01:00:00.0000000,11024.75,11068.25,11017.95,11054.25,35088
2020-07-21 05:00:00.0000000,11054.45,11066.45,11027.25,11029.75,25379
2020-07-21 09:00:00.0000000,11029.45,11030.05,10838.95,10879.45,113990
2020-07-21 13:00:00.0000000,10878.95,10944.65,10794.75,10856.45,76546
2020-07-21 17:00:00.0000000,10859.15,10893.15,10853.55,10859.25,19215
2020-07-21 21:00:00.0000000,10859.75,10925.85,10856.15,10864.25,30608
2020-07-22 01:00:00.0000000,10864.35,10885.75,10793.05,10810.25,40782
2020-07-22 05:00:00.0000000,10810.55,10893.55,10792.55,10876.55,28370
2020-07-22 09:00:00.0000000,10875.75,10909.45,10772.35,10839.55,96869
2020-07-22 13:00:00.0000000,10839.15,10885.35,10793.95,10854.55,71345
2020-07-22 17:00:00.0000000,10849.45,10870.35,10817.5,10828.35,13149
2020-07-22 21:00:00.0000000,10828.35,10861.85,10815.75,10846.65,28875
2020-07-23 01:00:00.0000000,10846.65,10948.15,10838.35,10899.45,38251
2020-07-23 05:00:00.0000000,10899.15,10919.15,10851.65,10854.15,32473
2020-07-23 09:00:00.0000000,10853.15,10881.15,10661.15,10699.65,113568
2020-07-23 13:00:00.0000000,10699.65,10728.35,10524.95,10576.45,108501
2020-07-23 17:00:00.0000000,10585.05,10606.55,10581.95,10606.25,14748
2020-07-23 21:00:00.0000000,10606.25,10608.05,10461.45,10505.55,35515
2020-07-24 01:00:00.0000000,10505.55,10508.75,10389.75,10447.45,54460
2020-07-24 05:00:00.0000000,10447.15,10508.45,10420.95,10455.95,36857
2020-07-24 09:00:00.0000000,10454.15,10540.75,10312.85,10441.05,118719
2020-07-24 13:00:00.0000000,10440.95,10522.05,10392.55,10473.35,86612
2020-07-26 17:00:00.0000000,10507.35,10526.95,10411.45,10499.65,22146
2020-07-26 21:00:00.0000000,10500.25,10552.55,10483.35,10537.85,26655
2020-07-27 01:00:00.0000000,10537.65,10542.85,10505.55,10529.35,36255
2020-07-27 05:00:00.0000000,10529.35,10596.85,10527.15,10560.15,32741
2020-07-27 09:00:00.0000000,10559.85,10646.45,10522.75,10602.35,96149
2020-07-27 13:00:00.0000000,10603.15,10694.65,10601.05,10693.55,62015
2020-07-27 17:00:00.0000000,10700.05,10745.45,10692.95,10742.75,16109
2020-07-27 21:00:00.0000000,10743.15,10769.15,10695.95,10714.55,38450
2020-07-28 01:00:00.0000000,10714.25,10729.45,10664.85,10692.05,35634
2020-07-28 05:00:00.0000000,10692.05,10696.85,10612.75,10655.05,38087
2020-07-28 09:00:00.0000000,10655.05,10663.35,10569.05,10642.75,97046
2020-07-28 13:00:00.0000000,10642.75,10661.85,10526.05,10560.15,63827
2020-07-28 17:00:00.0000000,10579.75,10591.05,10556.25,10586.75,14057
2020-07-28 21:00:00.0000000,10586.75,10589.25,10524.75,10535.25,27230
2020-07-29 01:00:00.0000000,10535.25,10617.55,10529.95,10594.65,31937
2020-07-29 05:00:00.0000000,10594.65,10629.65,10576.95,10610.65,25374
2020-07-29 09:00:00.0000000,10610.55,10657.55,10583.75,10636.35,75140
2020-07-29 13:00:00.0000000,10636.55,10711.45,10611.9,10711.15,76654
2020-07-29 17:00:00.0000000,10704.25,10706.95,10668.75,10682.75,15975
2020-07-29 21:00:00.0000000,10682.55,10692.25,10662.65,10674.25,29514
2020-07-30 01:00:00.0000000,10674.55,10676.55,10537.45,10541.65,43390
2020-07-30 05:00:00.0000000,10539.75,10608.95,10514.25,10551.65,46103
2020-07-30 09:00:00.0000000,10551.65,10717.35,10526.75,10697.45,102438
2020-07-30 13:00:00.0000000,10697.45,10904.85,10684.25,10899.85,72254
2020-07-30 17:00:00.0000000,10930.95,10936.35,10888.65,10906.25,23211
2020-07-30 21:00:00.0000000,10906.35,10947.95,10870.95,10882.35,42397
2020-07-31 01:00:00.0000000,10882.45,10932.15,10853.45,10914.15,45349
2020-07-31 05:00:00.0000000,10914.15,10942.85,10885.15,10913.45,29392
2020-07-31 09:00:00.0000000,10913.45,10918.35,10701.55,10719.05,115292
